# Last workflow run on (ET): 2025-08-27 14:27:53
NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
66015,"Transport Canada Recall - 2020466 - ASTON MARTIN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2020466-aston-martin,TC,"Car recalled by ASTON MARTIN",Airbag,,Car,,2021-07-06,0
67281,"Transport Canada Recall - 2018551 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2018551-daimler-truck-north-america,TC,"Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA",Steering,,"Truck - Med. & H.D.",,2021-07-06,0
67363,"Transport Canada Recall - 2018469 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2018469-daimler-truck-north-america,TC,"Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA","Fuel supply",,"Truck - Med. & H.D.",,2021-07-06,0
67586,"Transport Canada Recall - 2018245 - DAIMLER TRUCK NORTH AMERICA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2018245-daimler-truck-north-america,TC,"Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA",Airbag,,"Truck - Med. & H.D.",,2021-07-06,0
62593,"  Gely; Absolute Sanitizer (2021-07-05) ",https://recalls-rappels.canada.ca/en/alert-recall/gely-absolute-sanitizer-2021-07-05,"Drugs and health products",,COVID,,"Natural health products","Type II",2021-07-05,0
62594,"  Securol Hand Sanitizer(2021-07-05) ",https://recalls-rappels.canada.ca/en/alert-recall/securol-hand-sanitizer2021-07-05,"Drugs and health products",,COVID,,"Natural health products","Type II",2021-07-05,0
62599,"  NIAGARA 75% ALCOHOL ANTIBACTERIAL WIPES(2021-07-05) ",https://recalls-rappels.canada.ca/en/alert-recall/niagara-75-alcohol-antibacterial-wipes2021-07-05,"Drugs and health products",,"Product safety - COVID",,"Natural health products","Type II",2021-07-05,0
62707,"  Al-Rabih brand Halva / Halawa – with pistachios recalled due to Salmonella ",https://recalls-rappels.canada.ca/en/alert-recall/al-rabih-brand-halva-halawa-pistachios-recalled-due-salmonella,CFIA,,Salmonella,,Food,"Class 2",2021-07-05,0
62709,"  El Rashidi El Mizan brand Pure Natural Honey recalled due to presence of Enrofloxacin, Ciprofloxacin, Sulfadiazine, Sulfamethoxazole and Sulfamethazine ",https://recalls-rappels.canada.ca/en/alert-recall/el-rashidi-el-mizan-brand-pure-natural-honey-recalled-due-presence-enrofloxacin,CFIA,,,,Food,"Class 2",2021-07-05,0
65471,"Transport Canada Recall - 2021389 - PORSCHE",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021389-porsche,TC,"Car recalled by PORSCHE","Seats And Restraints",,Car,,2021-07-05,0
65477,"Transport Canada Recall - 2021383 - TEMSA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021383-temsa,TC,"Bus recalled by TEMSA",Structure,,Bus,,2021-07-05,0
65480,"Transport Canada Recall - 2021380 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021380-general-motors,TC,"SUV recalled by GENERAL MOTORS",Steering,,SUV,,2021-07-05,0
62576,"  Various Bio-Ethanol Tabletop Fireplaces by Anywhere Fireplace recalled due to lack of appropriate labelling and hazard information ",https://recalls-rappels.canada.ca/en/alert-recall/various-bio-ethanol-tabletop-fireplaces-anywhere-fireplace-recalled-due-lack,"Consumer product safety","Various Bio-Ethanol Tabletop Fireplaces by Anywhere Fireplace","Labelling and packaging","Consumers should immediately stop using the products and contact Anywhere Fireplace for further directions.&nbsp;For more information, consumers may contact Anywhere Fireplace by email at&nbsp;recallinfo@anywherefireplace.com&nbsp;to find out next steps.Please note that the&nbsp;Canada Consumer Product Safety Act&nbsp;prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind Canadians to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2021-07-02,0
62704,"  Aberdeen and Black Tie brand ChaoZhou style fish balls recalled due to undeclared soy ",https://recalls-rappels.canada.ca/en/alert-recall/aberdeen-and-black-tie-brand-chaozhou-style-fish-balls-recalled-due-undeclared-soy,CFIA,,Soy,,Food,"Class 1",2021-07-02,0
62705,"  Dufflet brand Plant-Based Chocolate Cake recalled due to undeclared egg ",https://recalls-rappels.canada.ca/en/alert-recall/dufflet-brand-plant-based-chocolate-cake-recalled-due-undeclared-egg,CFIA,,Egg,,Food,"Class 1",2021-07-02,0
62706,"  Gestus brand Makrel Filet I Tomatsauce recalled due to commercial sterility concerns ",https://recalls-rappels.canada.ca/en/alert-recall/gestus-brand-makrel-filet-tomatsauce-recalled-due-commercial-sterility-concerns,CFIA,,,,Food,"Class 2",2021-07-02,0
62726,"  Amended: Children's Kaopectate Suspension Product Recall (2021-07-02) ",https://recalls-rappels.canada.ca/en/alert-recall/amended-children-s-kaopectate-suspension-product-recall-2021-07-02,"Drugs and health products",,"Product safety",,"Natural health products","Type II",2021-07-02,0
62555,"  Reconstitution Device & PD Empty Bag System (2021-06-26) ",https://recalls-rappels.canada.ca/en/alert-recall/reconstitution-device-pd-empty-bag-system-2021-06-26,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62556,"  QUANTA SYSTEM SURGICAL SINGLE-USE LASER FIBERS (2021-04-20) ",https://recalls-rappels.canada.ca/en/alert-recall/quanta-system-surgical-single-use-laser-fibers-2021-04-20,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62557,"  Accolade Family Pacemakers (2021-06-03) ",https://recalls-rappels.canada.ca/en/alert-recall/accolade-family-pacemakers-2021-06-03,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62558,"  Ingenio Family DREL Pacemakers and CRT- Ps (2021-06-03) ",https://recalls-rappels.canada.ca/en/alert-recall/ingenio-family-drel-pacemakers-and-crt-ps-2021-06-03,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62559,"  NAVIGUS STIMLOC (2021-06-04) ",https://recalls-rappels.canada.ca/en/alert-recall/navigus-stimloc-2021-06-04,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62560,"  ENVEO PRO DELIVERY CATHETER SYSTEM (2021-06-09) ",https://recalls-rappels.canada.ca/en/alert-recall/enveo-pro-delivery-catheter-system-2021-06-09,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62561,"  BioComposite SwiveLock (2021-06-08) ",https://recalls-rappels.canada.ca/en/alert-recall/biocomposite-swivelock-2021-06-08,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62562,"  da Vinci S/Si Surgical System (2021-06-09) ",https://recalls-rappels.canada.ca/en/alert-recall/da-vinci-ssi-surgical-system-2021-06-09,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62563,"  Signa Explorer/Voyager/Artist (2021-06-16) ",https://recalls-rappels.canada.ca/en/alert-recall/signa-explorervoyagerartist-2021-06-16,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62564,"  Various Certified 2-in-1 Electric Mowers recalled due to Fire Hazard ",https://recalls-rappels.canada.ca/en/alert-recall/various-certified-2-1-electric-mowers-recalled-due-fire-hazard,"Consumer product safety",,"Fire hazard",,"Tools and accessories",,2021-06-30,0
62565,"  DISCOVERY MR750 MR SYSTEM, DISCOVERY MR750W 3.0T MAGNETIC RESONANCE IMAGING SYSTEM, SIGNA HDXT 1.5T MR SYSTEM, DISCOVERY MR450 1.5T MR SYSTEM (2021-06-16) ",https://recalls-rappels.canada.ca/en/alert-recall/discovery-mr750-mr-system-discovery-mr750w-30t-magnetic-resonance-imaging-system-signa,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62566,"  Philips V60/V60 Plus Ventilators (2021-06-21) ",https://recalls-rappels.canada.ca/en/alert-recall/philips-v60v60-plus-ventilators-2021-06-21,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62567,"  GE OEC ELITE (2021-06-21) ",https://recalls-rappels.canada.ca/en/alert-recall/ge-oec-elite-2021-06-21,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62568,"  Soltive Premium Superpulsed Laser System (2021-06-22) ",https://recalls-rappels.canada.ca/en/alert-recall/soltive-premium-superpulsed-laser-system-2021-06-22,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-30,0
62571,"  Joe Fresh® Toddler's and Kid's Boy Functional Sandals recalled due to Choking and Tripping Hazard ",https://recalls-rappels.canada.ca/en/alert-recall/joe-freshr-toddler-s-and-kid-s-boy-functional-sandals-recalled-due-choking-and,"Consumer product safety",,,,"Clothing and accessories",,2021-06-30,0
62574,"  Health Canada updates Pfizer-BioNTech and Moderna COVID-19 vaccine labels to include information on myocarditis and pericarditis ",https://recalls-rappels.canada.ca/en/alert-recall/health-canada-updates-pfizer-biontech-and-moderna-covid-19-vaccine-labels-include,"Communications and Public Affairs Branch",,"COVID - Product safety",,"Biologic or vaccine",,2021-06-30,0
62575,"  CHAMPIX (varenicline) — Potential Risk Posed by Long-Term Exposure to Nitrosamine Impurity, N-nitrosovarenicline, Exceeding Acceptable Intake Limit ",https://recalls-rappels.canada.ca/en/alert-recall/champix-varenicline-potential-risk-posed-long-term-exposure-nitrosamine-impurity-n,"Marketed health products",,"Product safety",,Drugs,,2021-06-30,0
62337,"  Health Canada issues label change on the AstraZeneca and COVISHIELD COVID-19 vaccines ",https://recalls-rappels.canada.ca/en/alert-recall/health-canada-issues-label-change-astrazeneca-and-covishield-covid-19-vaccines,"Communications and Public Affairs Branch",,COVID,,"Biologic or vaccine",,2021-06-29,0
62570,"  AstraZeneca COVID-19 Vaccine and COVISHIELD: Risk of Capillary Leak Syndrome ",https://recalls-rappels.canada.ca/en/alert-recall/astrazeneca-covid-19-vaccine-and-covishield-risk-capillary-leak-syndrome,"Marketed health products",,"COVID - Product safety",,"Biologic or vaccine",,2021-06-29,0
62603,"  Pur Naturals Liquid Vitamin D with K2; Martin Clinic Liquid Vitamin D(2021-06-29) ",https://recalls-rappels.canada.ca/en/alert-recall/pur-naturals-liquid-vitamin-k2-martin-clinic-liquid-vitamin-d2021-06-29,"Drugs and health products",,"Product safety",,"Natural health products","Type II",2021-06-29,0
62702,"  Little Saigon brand spring rolls recalled due to undeclared wheat ",https://recalls-rappels.canada.ca/en/alert-recall/little-saigon-brand-spring-rolls-recalled-due-undeclared-wheat,CFIA,,Wheat,,Food,"Class 2",2021-06-29,0
65647,"Transport Canada Recall - 2021212 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021212-general-motors,TC,"Light Truck & Van recalled by GENERAL MOTORS","Seats And Restraints",,"Light Truck & Van - SUV",,2021-06-29,0
65741,"Transport Canada Recall - 2021112 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021112-mercedes-benz,TC,"Car recalled by MERCEDES-BENZ",Other,,"Car - SUV",,2021-06-29,0
65745,"Transport Canada Recall - 2021108 - AUTOCAR",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021108-autocar,TC,"Truck - Med. & H.D. recalled by AUTOCAR","Seats And Restraints",,"Truck - Med. & H.D.",,2021-06-29,0
67689,"Transport Canada Recall - 2018136 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2018136-mercedes-benz,TC,"SUV recalled by MERCEDES-BENZ","Seats And Restraints",,SUV,,2021-06-29,0
67847,"Transport Canada Recall - 2017641 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2017641-mercedes-benz,TC,"Car recalled by MERCEDES-BENZ","Seats And Restraints",,Car,,2021-06-29,0
62703,"  Dole brand Fresh Packed Blueberries recalled due to Cyclospora ",https://recalls-rappels.canada.ca/en/alert-recall/dole-brand-fresh-packed-blueberries-recalled-due-cyclospora-0,CFIA,,Cyclospora,,Food,"Class 2",2021-06-28,0
62848,"  Cloth Face Mask with Salt Crystals (2021-06-26) ",https://recalls-rappels.canada.ca/en/alert-recall/cloth-face-mask-salt-crystals-2021-06-26,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-26,0
62543,"  WPCP Ltd. recalls one lot of KUSHKRAFT Hybrid Blue Iguana dried cannabis pre-rolls ",https://recalls-rappels.canada.ca/en/alert-recall/wpcp-ltd-recalls-one-lot-kushkraft-hybrid-blue-iguana-dried-cannabis-pre-rolls,"Controlled substances and cannabis",,"Physical hazard",,Cannabis,,2021-06-25,0
62553,"  Medtronic Heartware Ventricular Assist Device System - Recall Due to Risk of Neurological Adverse Events, Mortality and Delay or Failure to Restart ",https://recalls-rappels.canada.ca/en/alert-recall/medtronic-heartware-ventricular-assist-device-system-recall-due-risk-neurological,"Marketed health products",,"Medical devices - Product safety",,"Medical devices",,2021-06-25,0
62700,"  Dole brand Fresh Packed Blueberries recalled due to Cyclospora ",https://recalls-rappels.canada.ca/en/alert-recall/dole-brand-fresh-packed-blueberries-recalled-due-cyclospora,CFIA,,Cyclospora,,Food,"Class 2",2021-06-25,0
62701,"  Al-Rabih brand Halva / Halawa – Plain / Traditional recalled due to Salmonella ",https://recalls-rappels.canada.ca/en/alert-recall/al-rabih-brand-halva-halawa-plain-traditional-recalled-due-salmonella,CFIA,,Salmonella,,Food,"Class 2",2021-06-25,0
65512,"Transport Canada Recall - 2021348 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021348-general-motors,TC,"Car recalled by GENERAL MOTORS",Airbag,,"Car - SUV",,2021-06-25,0
62535,"  Brushed Gold Kettle recalled due to burn hazard ",https://recalls-rappels.canada.ca/en/alert-recall/brushed-gold-kettle-recalled-due-burn-hazard,"Consumer product safety",,,,"Household items",,2021-06-24,0
62546,"  Curt Ball & Pintle Hitch recalled due to potential separation of towed vehicle ",https://recalls-rappels.canada.ca/en/alert-recall/curt-ball-pintle-hitch-recalled-due-potential-separation-towed-vehicle,"Consumer product safety",,,,Other,,2021-06-24,0
62550,"  Pok Pok Thaan Thai-Style Charcoal recalled due to Suffocation Hazard ",https://recalls-rappels.canada.ca/en/alert-recall/pok-pok-thaan-thai-style-charcoal-recalled-due-suffocation-hazard,"Consumer product safety","Pok Pok Thaan Thai-style Charcoal","Labelling and packaging","Consumers should immediately stop using the product and contact Knifewear Inc. for a corrected bilingual label.For more information, consumers may contact Thaan LLC by e-mail at&nbsp;info@thaancharcoal.comPlease note that the&nbsp;Canada Consumer Product Safety Act&nbsp;prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind Canadians to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Outdoor living",,2021-06-24,0
62699,"  Nestlé brand Drumstick Vanilla Chocolate Swirl Non-Dairy Frozen Dessert Cones recalled due to undeclared milk ",https://recalls-rappels.canada.ca/en/alert-recall/nestle-brand-drumstick-vanilla-chocolate-swirl-non-dairy-frozen-dessert-cones-0,CFIA,,Milk,,Food,"Class 1",2021-06-24,0
62324,"  EXPANDED RECALL: VIA-BOND, ARMOR COAT and HOMEBOND Epoxy products recalled due to improper labelling and lack of child-resistant packaging ",https://recalls-rappels.canada.ca/en/alert-recall/expanded-recall-bond-armor-coat-and-homebond-epoxy-products-recalled-due-improper,"Consumer product safety",,,,Chemicals,,2021-06-23,0
62416,"  EXPANDED RECALL: HOME-BOND and VIA-BOND Epoxy products recalled due to improper labelling and lack of child-resistant packaging ",https://recalls-rappels.canada.ca/en/alert-recall/expanded-recall-home-bond-and-bond-epoxy-products-recalled-due-improper-labelling-and,"Consumer product safety",,,,Chemicals,,2021-06-23,0
62538,"  MAKRITE 9500-N95 DISPOSABLE RESPIRATOR (2020-10-05) ",https://recalls-rappels.canada.ca/en/alert-recall/makrite-9500-n95-disposable-respirator-2020-10-05,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-23,0
62539,"  Zolid gen-x D3 98X16 (2021-04-26) ",https://recalls-rappels.canada.ca/en/alert-recall/zolid-gen-x-d3-98x16-2021-04-26,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-23,0
62540,"  Spectrum IQ Infusion System with Dose IQ Safety Software (2021-06-10) ",https://recalls-rappels.canada.ca/en/alert-recall/spectrum-iq-infusion-system-dose-iq-safety-software-2021-06-10,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-23,0
62541,"  PATIENT DATA MODULE (2021-06-14) ",https://recalls-rappels.canada.ca/en/alert-recall/patient-data-module-2021-06-14,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-23,0
62544,"  Char-Broil and Saber Grill and Grate Cleaners recalled due to lack of appropriate labelling and hazard information ",https://recalls-rappels.canada.ca/en/alert-recall/char-broil-and-saber-grill-and-grate-cleaners-recalled-due-lack-appropriate-labelling,"Consumer product safety",,,,Chemicals,,2021-06-23,0
62545,"  All lots of Yummy Sports Candies BCAA powder (all flavours) recalled due to missing safety information for pregnant and breastfeeding women ",https://recalls-rappels.canada.ca/en/alert-recall/all-lots-yummy-sports-candies-bcaa-powder-all-flavours-recalled-due-missing-safety,"Communications and Public Affairs Branch",,,,"Natural health products",,2021-06-23,0
62547,"  Continuous Positive Airway Pressure (CPAP), Bi-Level Positive Airway Pressure (BiPAP), and Mechanical Ventilators (2021-06-14) ",https://recalls-rappels.canada.ca/en/alert-recall/continuous-positive-airway-pressure-cpap-bi-level-positive-airway-pressure-bipap-and,"Medical devices",,"Medical devices",,"Medical devices","Type I",2021-06-23,0
62548,"  Continuous Positive Airway Pressure (CPAP), Bi-Level Positive Airway Pressure (BiPAP), and Mechanical Ventilators (2021-06-14) ",https://recalls-rappels.canada.ca/en/alert-recall/continuous-positive-airway-pressure-cpap-bi-level-positive-airway-pressure-bipap-and-0,"Medical devices",,"Medical devices",,"Medical devices","Type I",2021-06-23,0
62549,"  Bear Deterrents recalled due to canisters not spraying ",https://recalls-rappels.canada.ca/en/alert-recall/bear-deterrents-recalled-due-canisters-not-spraying,"Consumer product safety",,,,Other,,2021-06-23,0
62696,"  Al-Rabih brand Tahini recalled due to Salmonella ",https://recalls-rappels.canada.ca/en/alert-recall/al-rabih-brand-tahini-recalled-due-salmonella-0,CFIA,,Salmonella,,Food,"Class 2",2021-06-23,0
62697,"  Thai Best brand Thailand Black Tiger Shrimp Size 16-20 recalled due to undeclared sulphites ",https://recalls-rappels.canada.ca/en/alert-recall/thai-best-brand-thailand-black-tiger-shrimp-size-16-20-recalled-due-undeclared,CFIA,,Sulphites,,Food,"Class 1",2021-06-23,0
62698,"  Nestlé brand Drumstick Vanilla Chocolate Swirl Non-Dairy Frozen Dessert Cones recalled due to undeclared milk ",https://recalls-rappels.canada.ca/en/alert-recall/nestle-brand-drumstick-vanilla-chocolate-swirl-non-dairy-frozen-dessert-cones-recalled,CFIA,,Milk,,Food,"Class 1",2021-06-23,0
65483,"Transport Canada Recall - 2021377 - MITSUBISHI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021377-mitsubishi,TC,"Car recalled by MITSUBISHI",Brakes,,Car,,2021-06-23,0
65486,"Transport Canada Recall - 2021374 - KIA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021374-kia,TC,"Car recalled by KIA",Steering,,Car,,2021-06-23,0
65495,"Transport Canada Recall - 2021365 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021365-general-motors,TC,"SUV recalled by GENERAL MOTORS",Accessories,,SUV,,2021-06-23,0
66512,"Transport Canada Recall - 2019610 - VOLKSWAGEN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2019610-volkswagen,TC,"Car recalled by VOLKSWAGEN",Powertrain,,Car,,2021-06-23,0
65484,"Transport Canada Recall - 2021376 - BOMBARDIER RECREATIONAL PRODUCTS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021376-bombardier-recreational-products,TC,"A.T.V. recalled by BOMBARDIER RECREATIONAL PRODUCTS",Accessories,,A.T.V.,,2021-06-22,0
65488,"Transport Canada Recall - 2021372 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021372-fiat-chrysler-automobiles,TC,"SUV recalled by FIAT CHRYSLER AUTOMOBILES","Lights And Instruments",,SUV,,2021-06-22,0
65500,"Transport Canada Recall - 2021360 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021360-fiat-chrysler-automobiles,TC,"Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES",Engine,,"Light Truck & Van - Truck - Med. & H.D.",,2021-06-22,0
65502,"Transport Canada Recall - 2021358 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021358-mercedes-benz,TC,"SUV recalled by MERCEDES-BENZ",Structure,,SUV,,2021-06-22,0
62552,"  TOBRAMYCIN INJECTION USP 40mg/ml(2021-06-21) ",https://recalls-rappels.canada.ca/en/alert-recall/tobramycin-injection-usp-40mgml2021-06-21,"Drugs and health products",,"Product safety",,Drugs,"Type III",2021-06-21,0
62554,"  LUXE HEALTH HAND SANITIZER GEL (2021-06-21) ",https://recalls-rappels.canada.ca/en/alert-recall/luxe-health-hand-sanitizer-gel-2021-06-21,"Drugs and health products",,"Product safety - COVID",,"Natural health products","Type II",2021-06-21,0
65479,"Transport Canada Recall - 2021381 - LAND ROVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021381-land-rover,TC,"SUV recalled by LAND ROVER",Electrical,,SUV,,2021-06-21,0
66415,"Transport Canada Recall - 2020045 - HYUNDAI",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2020045-hyundai,TC,"Car recalled by HYUNDAI",Brakes,,"Car - Minivan",,2021-06-21,0
67097,"Transport Canada Recall - 2018741 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2018741-mercedes-benz,TC,"Car recalled by MERCEDES-BENZ",Airbag,,"Car - SUV",,2021-06-21,0
62537,"  One lot of Linessa 21 birth control pills recalled due to missing and mispackaged pills ",https://recalls-rappels.canada.ca/en/alert-recall/one-lot-linessa-21-birth-control-pills-recalled-due-missing-and-mispackaged-pills,"Communications and Public Affairs Branch",,,,Drugs,,2021-06-19,0
62531,"DUCO EDGE-EASY GRIP, Windproof Mini BBQ Lighters recalled due to potential fire and burn hazard",https://recalls-rappels.canada.ca/en/alert-recall/duco-edge-easy-grip-windproof-mini-bbq-lighters-recalled-due-potential-fire-and-burn,"Consumer product safety","DUCO EDGE-EASY GRIP, Windproof Mini BBQ Lighters","Burn hazard - Fire hazard","Consumers should immediate dispose of the lighters or return to the place of purchase for a refund.For more information, consumers may contact Duco Group Incorporated by phone at 905-660-2292 or by email:&nbsp;info@duco.ca.Please note that the&nbsp;Canada Consumer Product Safety Act&nbsp;prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind Canadians to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2021-06-18,0
62542,"  LINESSA 21(2021-06-18) ",https://recalls-rappels.canada.ca/en/alert-recall/linessa-212021-06-18,"Drugs and health products",,"Product safety",,Drugs,"Type I",2021-06-18,0
62551,"  PMS-RABEPRAZOLE EC(2021-06-18) ",https://recalls-rappels.canada.ca/en/alert-recall/pms-rabeprazole-ec2021-06-18,"Drugs and health products",,"Product safety",,Drugs,"Type II",2021-06-18,0
62572,"  Yummy Sports BCAA (2021-06-18) ",https://recalls-rappels.canada.ca/en/alert-recall/yummy-sports-bcaa-2021-06-18,"Drugs and health products",,"Product safety",,"Natural health products","Type II",2021-06-18,0
62694,"  Turkey Breakfast Sausage recalled due to undeclared milk ",https://recalls-rappels.canada.ca/en/alert-recall/turkey-breakfast-sausage-recalled-due-undeclared-milk,CFIA,,Milk,,Food,"Class 1",2021-06-18,0
65504,"Transport Canada Recall - 2021356 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021356-mercedes-benz,TC,"Light Truck & Van recalled by MERCEDES-BENZ",Electrical,,"Light Truck & Van",,2021-06-18,0
62512,"  Advia Chemistry XPT Instrument (2021-05-25) ",https://recalls-rappels.canada.ca/en/alert-recall/advia-chemistry-xpt-instrument-2021-05-25,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62513,"  0180/OMNERA 400T (2021-05-17) ",https://recalls-rappels.canada.ca/en/alert-recall/0180omnera-400t-2021-05-17,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62514,"  ARTIS pheno (2021-05-26) ",https://recalls-rappels.canada.ca/en/alert-recall/artis-pheno-2021-05-26,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62515,"  VAMP Jr. Pressure Monitoring Kit (2021-06-01) ",https://recalls-rappels.canada.ca/en/alert-recall/vamp-jr-pressure-monitoring-kit-2021-06-01,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62516,"  OXYMASK ADULT (2021-05-20) ",https://recalls-rappels.canada.ca/en/alert-recall/oxymask-adult-2021-05-20,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62517,"  REVEAL LINQ Insertable Cardiac monitor (2021-06-02) ",https://recalls-rappels.canada.ca/en/alert-recall/reveal-linq-insertable-cardiac-monitor-2021-06-02,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62518,"  LINQ II Insertable Cardiac Monitor (2021-06-02) ",https://recalls-rappels.canada.ca/en/alert-recall/linq-ii-insertable-cardiac-monitor-2021-06-02,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62519,"  AVANTI+ CARDIOLOGY SHEATHS (2021-06-09) ",https://recalls-rappels.canada.ca/en/alert-recall/avanti-cardiology-sheaths-2021-06-09,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62520,"  Infant Heel Warmer with/without Attachment Tab (2021-06-10) ",https://recalls-rappels.canada.ca/en/alert-recall/infant-heel-warmer-withwithout-attachment-tab-2021-06-10,"Medical devices",,"Medical devices",,"Medical devices","Type II",2021-06-17,0
62521,"  Trutest Closed Suction System (2021-06-11) ",https://recalls-rappels.canada.ca/en/alert-recall/trutest-closed-suction-system-2021-06-11,"Medical devices",,"Medical devices",,"Medical devices","Type I",2021-06-17,0
62525,"  Natural Balance L.I.D. Green Pea & Chicken Dry Cat Formula recalled due to Possible Salmonella Contamination ",https://recalls-rappels.canada.ca/en/alert-recall/natural-balance-lid-green-pea-chicken-dry-cat-formula-recalled-due-possible-salmonella,"Consumer product safety",,,,Other,,2021-06-17,0
62534,"  Health Canada Warns Parents and Caregivers about the Dangers of Flame Colourant Packets ",https://recalls-rappels.canada.ca/en/alert-recall/health-canada-warns-parents-and-caregivers-about-dangers-flame-colourant-packets,"Consumer product safety",,"Chemical hazard",,"Chemicals - Outdoor living",,2021-06-17,0
65592,"Transport Canada Recall - 2021267 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2021267-ford,TC,"SUV recalled by FORD",Structure,,SUV,,2021-06-17,0
